Product_code,Vendor_code,Name,Retail_price,Base_unit,Country_of_Origin,Size,ABV
4528,Kombucha,Kombucha Live Brew Pineapple Express 0.33,200.0,Pieces,Russia,,
4392,Kombucha,Kombucha Live Brew Rosemary Brewtiful 0.33,240.0,Pieces,Russia,,
4526,Kombucha,Kombucha Live Brew Urals Tropical 0.33,200.0,Pieces,Russia,,
4806,Kombucha,Kombucha Live Brew VeGan Vine 0.33,200.0,Pieces,Russia,,
4864,Kombucha,Kombucha Live Dessert Rose 0.33,200.0,Pieces,Russia,,
5091,Kombucha,Kombucha Live Ginger Hype 0.33,200.0,Pieces,Russia,,
4865,Kombucha,Kombucha Live Oolong Island 0.33,200.0,Pieces,Russia,,
2764,,Kona,,,,,
2760,Kona,Kona Big Wave Barrel,720.0,Liters,Russia,1.0,4.4
2770,Kona,Kona Big Wave Golden Ale 0.355,300.0,Pieces,Russia,0.355,4.4
2765,Kona,Kona Fire Rock Pale Ale 0.355,330.0,Pieces,Russia,0.355,6.0
2785,Kona,Kona Gold Cliff IPA 0.355,220.0,Pieces,Russia,0.355,7.2
2771,Kona,Kona Hanalei Island IPA 0.355,330.0,Pieces,Russia,0.355,4.5
2773,Kona,Kona Koko Brown 0.355,350.0,Pieces,Russia,0.355,5.5
2772,Kona,Kona Longboard Island Lager 0.355,170.0,Pieces,Russia,0.355,4.6
2784,Kona,Kona Longboard Island Lager Barrel,720.0,Liters,Russia,1.0,4.6
64,Konix,Konix,,,Russia,,
4247,Konix,Konix,,,Russia,,
4248,Konix,Konix Bomb # 0.375,350.0,Pieces,Russia,0.375,8.5
118,Konix,"Konix One-Day Summer / APA / 5,8% / 0,5 but.",180.0,Pieces,Russia,0.5,5.8
4249,Konix,Konix Russian Imperial Stout Barrel # VSK 1 0.375,350.0,Pieces,Russia,0.375,12.5
4246,Konix,Konix Russian Imperial Stout Barrel # VSK 1 Barrel,680.0,Liters,Russia,1.0,12.5
2372,,Kout na Šumavě Koutská desítka / 4%,720.0,Liters,,1.0,4.0
1306,,Koutsky 12° Svetly Lezak / czech pilsner / 5%,680.0,Liters,,1.0,5.0
4618,,Kriek boon Lamic,800.0,Liters,,1.0,4.0
4139,,Kurpfalz Helles 0.5,300.0,Pieces,,0.5,5.2
4092,,Kurpfalzbräu Helles,720.0,Liters,,1.0,5.2
5223,,Kynspersky Zajic Svetly Lezak 0.5,280.0,Pieces,,0.5,5.0
2486,,"La Branche Cider Apple 0,375 Estonija",300.0,Pieces,,0.375,5.5
2665,,La Branche Cider Black Currant 0.375,300.0,Pieces,,0.375,5.5
2487,,"La Branche Cider Pear 0,375 Estonija",300.0,Pieces,,0.375,5.5
2376,,La Calavera,,,,,
2381,Bierbrouwerij De Koningshoeven,"La Calavera Blue Blood Fuck You!! / RIS BA / 11,8%",480.0,Pieces,Netherlands,0.375,11.8
2382,Bierbrouwerij De Koningshoeven,"La Calavera Blue Blood Fuck You!! / RIS BA / 11,8% Barrel",1400.0,Liters,Netherlands,1.0,11.8
3994,Bierbrouwerij De Koningshoeven,La Calavera Bretternity 0.375,580.0,Pieces,Netherlands,0.375,8.6
3993,Bierbrouwerij De Koningshoeven,La Calavera Bretternity Barrel,1200.0,Liters,Netherlands,1.0,8.6
2378,Bierbrouwerij De Koningshoeven,La Calavera First Aid Kit Schitat' 3 sht,500.0,Pieces,Netherlands,0.2,8.5
3962,Bierbrouwerij De Koningshoeven,La Calavera Fruits Of The Doom 0.375,600.0,Pieces,Netherlands,0.375,6.3
3965,Bierbrouwerij De Koningshoeven,La Calavera Jellyfish 0.375,550.0,Pieces,Netherlands,0.375,7.5
3992,Bierbrouwerij De Koningshoeven,La Calavera No Goods No Masters 0.375,570.0,Pieces,Netherlands,0.375,8.0
2377,Bierbrouwerij De Koningshoeven,"La Calavera Original Medical Stout 8,5%",350.0,Pieces,Netherlands,0.2,8.5
2379,Bierbrouwerij De Koningshoeven,"La Calavera Sedition / sour / 6,2%",550.0,Pieces,Netherlands,0.375,6.2
2380,Bierbrouwerij De Koningshoeven,"La Calavera Wood Series: Bâtard Chardonnay BA / Sour / 8,7%",1100.0,Pieces,Netherlands,0.375,8.7
1706,,La Cuvée Blanche 4%,1100.0,Pieces,,0.75,4.0
4163,Bierbrouwerij De Koningshoeven,La Debauche Battlefield 0.33,730.0,Pieces,Netherlands,0.33,10.0
4167,Bierbrouwerij De Koningshoeven,La Debauche Battlefield Barrel20,1320.0,Liters,Netherlands,,10.0
4162,Bierbrouwerij De Koningshoeven,La Debauche Big Boy 0.33,730.0,Pieces,Netherlands,0.33,12.0
4164,Bierbrouwerij De Koningshoeven,La Debauche Demi Mondaine 0.33,750.0,Pieces,Netherlands,0.33,11.0
37,Bierbrouwerij De Koningshoeven,La Trappe,,,Netherlands,,
2492,Bierbrouwerij De Koningshoeven,"La Trappe Blond 0,33",330.0,Pieces,Netherlands,0.33,6.5
4711,Bierbrouwerij De Koningshoeven,La Trappe Blond 0.33,330.0,Pieces,Netherlands,0.33,6.5
279,Bierbrouwerij De Koningshoeven,La Trappe Bockbier / dunkler bock / 7% / 0./ but,330.0,Pieces,Netherlands,0.33,7.0
2491,Bierbrouwerij De Koningshoeven,"La Trappe Dubbel 0,33",330.0,Pieces,Netherlands,0.33,7.0
4710,Bierbrouwerij De Koningshoeven,La Trappe Dubbel 0.33,330.0,Pieces,Netherlands,0.33,7.0
3955,Bierbrouwerij De Koningshoeven,La Trappe Isid'or 0.33,330.0,Pieces,Netherlands,0.33,7.5
278,Bierbrouwerij De Koningshoeven,La Trappe Quadrupel / abt/quadrupel / 10% / 0./ but,370.0,Pieces,Netherlands,0.33,10.0
4050,Bierbrouwerij De Koningshoeven,La Trappe Quadrupel Barrel,800.0,Liters,Netherlands,1.0,10.0
3043,Bierbrouwerij De Koningshoeven,La Trappe Tripel 0.33,350.0,Pieces,Netherlands,0.33,8.0
